sno,ceo_name,company_name,U1yr,UG1_inst,U2yr,UG2_inst,MBAyr,MBA_inst,M1yr,Masters1_inst,M2yr,Masters2_inst,Jdyr,JD_inst,PhDyr,PhDinst
1,Eric A. Benhamou,3COM CORP,1972,"Ecole Supérieure de Commerce de Paris, France",,,,,1977,"Stanford University, Stanford, CA",,,,,1978,"Ecole Supérieure de Commerce de Paris, France"
2,Duane L. Burnham,ABBOTT LABORATORIES,1963,"University of Minnesota, Minneapolis, MN",,,1972,"University of Minnesota, Minneapolis, MN",,,,,,,,
3,William J. Cadogan,ADC TELECOMMUNICATIONS INC,1972,"Northeastern University, Boston, MA",,,1985,"University of Pennsylvania, Philadelphia, PA",,,,,,,,
4,John Edward Warnock,ADOBE SYSTEMS INC,1961,"University of Utah, Salt Lake City, UT",,,,,1964,"University of Utah, Salt Lake City, UT",,,,,1969,"University of Utah, Salt Lake City, UT"
5,Walter Jeremiah Sanders III,ADVANCED MICRO DEVICES,1958,"University of Illinois, Urbana, IL",,,,,,,,,,,,
6,Roger W. Sant,AES CORP,1955,"Brigham Young University, Provo, UT",,,1960,"Harvard University, Cambridge, MA",,,,,,,,
7,Ronald Edward Compton,AETNA INC,1954,"Northwestern University, Evanston, IL",,,,,,,,,,,,
8,Daniel P. Amos,AFLAC INC,1973,"University of Georgia, Athens, GA",,,,,,,,,,,,
9,Richard H. Deihl,AHMANSON (H F) & CO,1949,"Whittier College, Whittier, CA",,,,,,,,,,,,
10,Harold A. Wagner,AIR PRODUCTS & CHEMICALS INC,1958,"Stanford University, Stanford, CA",,,1963,"Harvard University, Cambridge, MA",,,,,,,,
11,Leonard H. Lavin,ALBERTO-CULVER CO,,,,,,,,,,,,,,
12,Gary Glenn Michael,ALBERTSON'S INC,1962,"University of Idaho, Moscow, ID",,,,,,,,,,,,
13,Ray B. Mundt,IKON OFFICE SOLUTIONS,1953,"University of Wisconsin, Stevens Point, WI",,,,,,,,,,,,
14,Tinsley H. Irvin,ALEXANDER & ALEXANDER,1955,"Georgia State University, Atlanta, GA",,,,,,,,,,,,
15,John C. Couch,MATSON INC,1963,"University of Michigan, Ann Arbor, MI",,,1976,"Stanford University, Stanford, CA",1964,"University of Michigan, Ann Arbor, MI",,,,,,
