college_name,inst_code,is_it_foreign,
"American University, Beirut, Lebanon",900001,Foreign,
"American University, Paris, France",900002,Foreign,
"Armed Forces Medical College, Pune, Maharashtra, India",900003,Foreign,
"Assumption College, Makati, Metro Manila, Philippines",900004,Foreign,
"Aston University, Birmingham, United Kingdom",900005,Foreign,
"Athabasca University, Athabasca, Alberta, Canada",900006,Foreign,
"Australian National University, Canberra, Australia",900007,Foreign,
"Banaras Hindu University, Varanasi, India",900008,Foreign,
"Bangalore University, Bangalore, Karnataka, India",900009,Foreign,
"Belfast Metropolitan College, Belfast, Ireland",900010,Foreign,
"Ben-Gurion University of the Negev, Beer Sheva, Israel",900011,Foreign,
"Birla Institute of Technology and Science, Pilani, Rajasthan, India",900012,Foreign,
"Bishop's University, Sherbrooke, Quebec, Canada",900013,Foreign,
"Bosphorus University, Bebek, Istanbul, Turkey",900014,Foreign,
"Bradford College, Bradford, England, United Kingdom",900015,Foreign,
"Brunel University London, Uxbridge, Middlesex, England, United Kingdom",900016,Foreign,
"Cairo University, Oula, Giza, Egypt",900017,Foreign,
"Cambridge University, Cambridge, United Kingdom",900018,Foreign,
"Cardiff University, Cardiff, Wales, United Kingdom",900019,Foreign,
"Carleton University, Ottawa, Ontario, Canada",900020,Foreign,
"Catholic University, Louvain-la-Neuve, Belgium",900021,Foreign,
"City University of London, London, England, United Kingdom",900022,Foreign,
"College of Engineering, Pune, Maharashtra, India",900023,Foreign,
"Concordia University, Montreal, Quebec, Canada",900024,Foreign,
"Dalhousie University, Halifax, Nova Scotia, Canada",900025,Foreign,
"Danube University, Krems, Austria",900026,Foreign,
"De La Salle College, Manila, Philippines",900027,Foreign,
"Directorate of Marine Engineering Training (DMET), Kolkata, WB, India",900028,Foreign,
"Doctor Bhim Rao Ambedkar University, Agra, Uttar Pradesh, India",900029,Foreign,
"Durham University, Durham County, England, United Kingdom",900030,Foreign,
"East Asiatic Company College of International Business, Copenhagen, Denmark",900031,Foreign,
"Ecole Centrale Paris, Châtenay-Malabry, France",900032,Foreign,
"École des Hautes Études Commerciales, Paris, France",900033,Foreign,
"École des Ponts ParisTech, Champs-sur-Marne, France",900034,Foreign,
"École Nationale Supérieure de Géologie, Vandœuvre-lès-Nancy, Paris, France",900035,Foreign,
"École Polytechnique de Montréal, Montréal, Quebec, Canada",900036,Foreign,
"École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland",900037,Foreign,
"Ecole Polytechnique, Palaiseau, France",900038,Foreign,
"Ecole Speciale des Travaux Publics, Paris, France",900039,Foreign,
"Ecole Supérieure de Commerce de Paris, France",900040,Foreign,
"École Supérieure des Sciences Économiques et Commerciales, Cergy-Pontoise, France",900041,Foreign,
"Erasmus University, Rotterdam, Netherlands",900042,Foreign,
"Fairleigh Dickinson University, Vancouver, British Columbia, Canada",900043,Foreign,
"Grant Medical College, Mumbai, Maharashtra, India",900044,Foreign,
