Year,Q1,Q2,Q3,Q4
1948,0.0610,0.1490,0.0870,0.1560
1949,0.1110,0.1860,0.0220,-0.0680
1950,-0.0720,0.0750,-0.0630,0.3140
1951,0.4980,0.6490,0.5170,0.2290
1952,0.1240,0.1430,0.0410,0.0680
1953,0.1330,0.0850,-0.0420,-0.0100
1954,-0.1000,-0.1290,-0.0840,-0.0240
1955,0.0020,-0.0390,0.0260,-0.0770
1956,-0.0010,0.0830,-0.0350,0.1060
1957,0.0890,-0.0210,0.0350,0.0670
1958,-0.0340,0.1040,0.0230,0.0830
1959,-0.0400,0.0500,0.0350,-0.0320
1960,-0.0660,0.0460,0.1020,0.0280
1961,0.0610,0.0100,0.0880,0.0910
1962,0.0790,0.0200,0.0960,0.0280
1963,-0.0530,0.0030,0.1900,-0.0410
1964,0.0130,0.0360,0.0050,-0.0020
1965,-0.0050,0.0480,0.1390,0.0780
1966,0.0770,0.0780,0.1140,0.0710
1967,0.1800,-0.0160,0.0450,0.0310
1968,0.0730,0.0210,0.0120,0.0030
1969,0.0090,-0.0130,0.0080,-0.0530
1970,-0.0190,-0.0460,0.0170,0.0020
1971,-0.0570,-0.0090,-0.0020,-0.0280
1972,0.0220,0.0160,-0.0740,0.0340
1973,0.0350,-0.0280,-0.0460,0.0300
1974,0.0740,0.0200,0.0080,0.0190
1975,0.0440,-0.0330,0.0770,0.0360
1976,0.0060,-0.0440,-0.0120,-0.0020
1977,0.0340,0.0370,0.0160,-0.0100
1978,0.0010,0.1040,0.0370,0.0360
1979,-0.0390,0.0400,0.0120,0.0270
1980,0.0600,0.0080,-0.0530,-0.0010
1981,0.0550,0.0080,-0.0140,0.0520
1982,-0.0050,0.0150,0.0320,0.0630
1983,0.0390,0.0330,0.0710,-0.0630
1984,0.0430,0.0900,0.0330,0.0870
1985,0.0440,0.0920,0.0940,0.0170
1986,0.0320,0.0860,0.0900,-0.0160
1987,0.0240,0.0310,0.0040,0.0610
1988,-0.0330,0.0120,0.0000,0.0800
1989,-0.0180,0.0630,0.0360,0.0200
1990,0.0660,0.0060,0.0060,0.0270
1991,0.0240,0.0160,-0.0110,-0.0290
1992,0.0360,-0.0080,0.0260,0.0000
1993,-0.0490,0.0000,0.0060,0.0140
1994,-0.0490,0.0200,0.0690,-0.0340
1995,0.0140,0.0140,-0.0100,-0.0410
1996,0.0270,0.0510,0.0000,0.0280
1997,-0.0210,0.0530,0.0190,0.0200
1998,-0.0140,0.0720,0.0300,0.0240
1999,0.0290,0.0150,0.0490,0.0640
2000,-0.0280,0.0400,-0.0170,0.0250
2001,0.0640,0.0710,-0.0040,0.0680
2002,0.0720,0.0310,0.0210,0.0300
2003,0.0030,0.0370,0.0090,0.0240
2004,0.0180,0.0110,0.0070,-0.0020
2005,0.0200,-0.0020,0.0130,0.0030
2006,0.0520,-0.0010,-0.0060,0.0330
2007,0.0050,0.0370,0.0180,0.0320
2008,0.0090,0.0350,0.0320,0.0280
2009,0.0460,0.0600,0.0110,0.0080
2010,-0.0170,0.0120,-0.0280,-0.0250
2011,-0.0480,-0.0270,-0.0560,-0.0030
2012,-0.0170,-0.0210,-0.0060,-0.0390
2013,-0.0370,-0.0050,-0.0190,-0.0310
2014,-0.0170,0.0050,0.0270,-0.0030
2015,0.0240,0.0400,0.0210,0.0170
2016,0.0370,-0.0030,0.0170,0.0070
2017,-0.0110,0.0110,0.0050,0.0360
2018,0.0080,0.0290,0.0320,0.0050
2019,0.0560,0.0550,0.0460,0.0330
2020,0.0440,0.0890,-0.0660,0.0040
2021,0.0580,-0.0460,-0.0290,0.0000
2022,-0.0300,-0.0140,0.0170,0.0410
2023,0.0410,0.0330,0.0520,0.0470
2024,0.0230,0.0330,0.0540,0.0330
2025,-0.0100,-0.0010,,
