Year,Q1,Q2,Q3,Q4
1948,0.4780,0.2710,0.0420,-0.1780
1949,-0.4760,-0.4350,0.3750,-0.1830
1950,1.3440,0.5020,0.3910,0.6130
1951,-0.3500,0.0960,-0.2630,-0.2830
1952,0.1080,-0.2690,0.2330,0.3210
1953,0.0890,0.0230,-0.0810,-0.2590
1954,-0.0290,-0.0090,0.2070,0.1880
1955,0.4630,0.2660,0.0630,0.0960
1956,-0.1090,-0.0310,-0.0360,-0.0360
1957,-0.0610,-0.0040,0.0950,-0.2740
1958,-0.2440,-0.0780,0.3440,0.3870
1959,0.2360,0.3490,-0.2340,0.1370
1960,0.4670,-0.3240,-0.0100,-0.3750
1961,0.1080,0.3110,0.3490,0.0680
1962,0.2340,-0.0310,0.0700,-0.1120
1963,0.2280,0.0650,0.1290,0.0500
1964,0.1580,-0.0140,0.0970,0.0380
1965,0.4390,0.0110,0.1470,0.0270
1966,0.3600,-0.0580,-0.0290,0.0240
1967,-0.0950,-0.1370,0.1220,0.0890
1968,0.0830,0.1620,-0.1050,0.0440
1969,0.2570,-0.0230,0.0840,-0.1800
1970,-0.1140,0.0090,0.0670,-0.1960
1971,0.5540,0.1180,0.0490,-0.1030
1972,0.2910,0.2470,0.0580,0.0250
1973,0.2560,0.1820,-0.1370,0.1500
1974,-0.2100,-0.0160,-0.1920,0.0240
1975,-0.5050,-0.1140,0.3480,0.1160
1976,0.4460,0.1680,0.0140,0.0300
1977,0.1980,0.3190,0.2180,-0.0970
1978,0.0800,0.2860,0.1220,0.0960
1979,0.0070,-0.0040,-0.0660,-0.0690
1980,-0.0270,-0.2990,-0.2390,0.4280
1981,0.4250,-0.1560,0.2450,-0.1340
1982,-0.3280,-0.0030,-0.0360,-0.2750
1983,0.1460,0.4040,0.2750,0.4500
1984,0.4460,0.1370,0.0890,-0.0510
1985,-0.1050,0.0700,-0.0270,0.1560
1986,-0.0010,-0.0680,-0.1030,0.0120
1987,0.1120,0.0020,0.0010,0.3020
1988,-0.1790,0.0990,0.0220,0.0620
1989,0.1430,-0.0380,-0.0350,-0.0290
1990,0.0400,0.0010,-0.0750,-0.2060
1991,-0.1270,0.0000,0.0820,0.1500
1992,-0.0720,0.2460,0.0320,0.1280
1993,0.0980,0.0230,-0.0270,0.2270
1994,0.1610,0.2120,-0.0640,0.1750
1995,0.0430,-0.0810,-0.0240,0.1030
1996,0.0660,0.2060,0.1940,-0.0050
1997,0.0830,0.2690,0.0570,0.0600
1998,0.1870,-0.0250,0.1080,0.1270
1999,0.1150,0.0020,0.1150,0.1110
2000,-0.0280,0.2590,-0.0380,0.0080
2001,-0.1700,0.0060,-0.0840,-0.1840
2002,0.1250,0.0670,-0.0050,-0.0040
2003,0.0330,0.0260,0.1530,0.1440
2004,0.0070,0.1690,0.0650,0.0860
2005,0.1170,-0.0510,0.0540,0.1340
2006,0.0600,-0.0230,-0.0150,-0.0720
2007,-0.0260,0.0390,-0.0450,-0.0450
2008,-0.1050,-0.0660,-0.0770,-0.3340
2009,-0.3830,-0.2130,-0.0120,0.4290
2010,0.0890,0.2270,0.1900,-0.0110
2011,-0.0720,0.1740,0.0180,0.3460
2012,0.0920,0.0930,0.0110,-0.0330
2013,0.1690,0.0530,0.1720,0.0390
2014,-0.0390,0.1750,0.0950,0.0130
2015,0.1470,0.0160,0.0090,-0.0240
2016,-0.0170,-0.0170,0.0170,0.1140
2017,-0.0110,0.0640,0.0680,0.0770
2018,0.0620,-0.0010,0.1270,0.0030
2019,0.0330,0.0370,0.0320,-0.0510
2020,-0.0960,-0.4520,0.9860,0.1380
2021,-0.0300,-0.0510,0.1540,0.2850
2022,0.0790,-0.0860,-0.0670,0.0800
2023,-0.0710,0.0720,0.0940,0.0360
2024,-0.0160,0.0820,0.0090,-0.0680
2025,0.2330,-0.1380,,
