Year,Month,Date,not_in_LF,unemployed,employed
2015,1,2015-01-01,92.694,8.885,148.145
2015,2,2015-02-01,93.256,8.599,148.045
2015,3,2015-03-01,93.437,8.515,148.128
2015,4,2015-04-01,93.205,8.550,148.511
2015,5,2015-05-01,92.804,8.834,148.817
2015,6,2015-06-01,93.601,8.247,148.816
2015,7,2015-07-01,93.880,8.167,148.830
2015,8,2015-08-01,93.924,7.992,149.181
2015,9,2015-09-01,94.592,7.907,148.826
2015,10,2015-10-01,94.374,7.922,149.246
2015,11,2015-11-01,94.284,8.000,149.463
2015,12,2015-12-01,93.901,7.907,150.128
2016,1,2016-01-01,94.117,7.627,150.653
2016,2,2016-02-01,93.937,7.702,150.939
2016,3,2016-03-01,93.589,7.961,151.218
2016,4,2016-04-01,93.828,8.067,151.074
2016,5,2016-05-01,94.390,7.652,151.132
2016,6,2016-06-01,94.430,7.744,151.223
2016,7,2016-07-01,94.426,7.641,151.554
2016,8,2016-08-01,94.292,7.784,151.779
2016,9,2016-09-01,94.377,7.953,151.761
2016,10,2016-10-01,94.716,7.811,151.793
2016,11,2016-11-01,95.034,7.553,151.954
2016,12,2016-12-01,95.064,7.521,152.157
2017,1,2017-01-01,94.462,7.468,152.152
2017,2,2017-02-01,94.386,7.379,152.480
2017,3,2017-03-01,94.277,7.073,153.065
2017,4,2017-04-01,94.243,7.089,153.255
2017,5,2017-05-01,94.699,7.000,153.069
2017,6,2017-06-01,94.766,6.873,153.318
2017,7,2017-07-01,94.689,6.892,153.569
2017,8,2017-08-01,94.771,7.082,153.503
2017,9,2017-09-01,94.423,6.854,154.286
2017,10,2017-10-01,95.457,6.700,153.609
2017,11,2017-11-01,95.370,6.774,153.805
2017,12,2017-12-01,95.574,6.632,153.904
2018,1,2018-01-01,95.866,6.489,154.425
2018,2,2018-02-01,95.156,6.581,155.197
2018,3,2018-03-01,95.411,6.472,155.214
2018,4,2018-04-01,95.501,6.459,155.312
2018,5,2018-05-01,95.606,6.196,155.652
2018,6,2018-06-01,95.433,6.447,155.762
2018,7,2018-07-01,95.502,6.195,156.146
2018,8,2018-08-01,96.406,6.156,155.504
2018,9,2018-09-01,96.202,6.073,156.015
2018,10,2018-10-01,95.913,6.211,156.391
2018,11,2018-11-01,95.871,6.115,156.721
2018,12,2018-12-01,95.682,6.389,156.817
2019,1,2019-01-01,95.277,6.475,156.487
2019,2,2019-02-01,95.393,6.136,156.863
2019,3,2019-03-01,95.633,6.202,156.701
2019,4,2019-04-01,96.107,5.961,156.625
2019,5,2019-05-01,96.110,5.930,156.821
2019,6,2019-06-01,95.870,5.935,157.232
2019,7,2019-07-01,95.635,6.061,157.529
2019,8,2019-08-01,95.658,5.945,157.829
2019,9,2019-09-01,95.546,5.753,158.339
2019,10,2019-10-01,95.429,5.871,158.545
2019,11,2019-11-01,95.524,5.868,158.629
2019,12,2019-12-01,95.483,5.853,158.845
2020,1,2020-01-01,95.124,5.869,158.508
2020,2,2020-02-01,95.161,5.753,158.714
2020,3,2020-03-01,97.200,7.206,155.353
2020,4,2020-04-01,103.627,23.084,133.185
2020,5,2020-05-01,101.945,20.929,137.173
2020,6,2020-06-01,100.210,17.652,142.342
2020,7,2020-07-01,100.241,16.352,143.779
2020,8,2020-08-01,99.852,13.461,147.245
2020,9,2020-09-01,100.569,12.554,147.620
2020,10,2020-10-01,99.922,11.072,149.931
2020,11,2020-11-01,100.456,10.694,149.934
2020,12,2020-12-01,100.485,10.770,149.975
2021,1,2021-01-01,100.763,10.236,149.852
2021,2,2021-02-01,100.734,9.995,150.189
2021,3,2021-03-01,100.603,9.756,150.644
2021,4,2021-04-01,100.260,9.762,151.081
2021,5,2021-05-01,100.410,9.266,151.535
2021,6,2021-06-01,100.142,9.462,151.734
2021,7,2021-07-01,99.966,8.731,152.773
2021,8,2021-08-01,100.084,8.276,153.250
2021,9,2021-09-01,100.271,7.652,153.843
2021,10,2021-10-01,100.154,7.279,154.475
2021,11,2021-11-01,99.747,6.751,155.530
2021,12,2021-12-01,99.639,6.398,156.099
2022,1,2022-01-01,99.576,6.512,157.115
2022,2,2022-02-01,99.425,6.301,157.598
2022,3,2022-03-01,99.224,6.014,158.206
2022,4,2022-04-01,99.666,6.002,157.891
2022,5,2022-05-01,99.317,5.983,158.378
2022,6,2022-06-01,99.789,5.951,158.094
2022,7,2022-07-01,99.985,5.768,158.258
2022,8,2022-08-01,99.530,5.919,158.735
2022,9,2022-09-01,99.753,5.792,158.810
2022,10,2022-10-01,99.888,5.964,158.684
2022,11,2022-11-01,100.258,5.943,158.507
2022,12,2022-12-01,99.819,5.766,159.259
2023,1,2023-01-01,99.998,5.747,160.217
2023,2,2023-02-01,99.754,5.962,160.395
2023,3,2023-03-01,99.621,5.839,160.812
2023,4,2023-04-01,99.719,5.751,160.974
2023,5,2023-05-01,99.733,6.089,160.796
2023,6,2023-06-01,99.864,5.958,160.979
2023,7,2023-07-01,99.899,5.920,161.183
2023,8,2023-08-01,99.455,6.284,161.475
2023,9,2023-09-01,99.660,6.326,161.442
2023,10,2023-10-01,99.952,6.479,161.211
2023,11,2023-11-01,99.682,6.254,161.886
2023,12,2023-12-01,100.552,6.315,161.124
2024,1,2024-01-01,100.201,6.149,161.190
2024,2,2024-02-01,100.237,6.462,161.013
2024,3,2024-03-01,99.963,6.497,161.425
2024,4,2024-04-01,100.078,6.492,161.495
2024,5,2024-05-01,100.449,6.635,161.164
2024,6,2024-06-01,100.434,6.849,161.155
2024,7,2024-07-01,100.329,7.097,161.219
2024,8,2024-08-01,100.360,7.071,161.425
2024,9,2024-09-01,100.377,6.901,161.802
2024,10,2024-10-01,100.861,6.972,161.456
2024,11,2024-11-01,101.159,7.121,161.183
2024,12,2024-12-01,101.091,6.886,161.661
2025,1,2025-01-01,101.941,6.849,163.895
2025,2,2025-02-01,102.487,7.052,163.307
2025,3,2025-03-01,102.431,7.083,163.508
2025,4,2025-04-01,102.062,7.166,163.969
2025,5,2025-05-01,102.875,7.237,163.273
2025,6,2025-06-01,103.204,7.015,163.366
2025,7,2025-07-01,103.443,7.236,163.106
2025,8,2025-08-01,103.223,7.384,163.394
