Ticker,Fund_Name,Alpha,Beta,ExpRatio,Size_M,Category
QQQ,Invesco QQQ Trust,4.39,1.08,0.2,"301,640",Large Cap Index Funds
NASDX,Shelton Nasdaq-100 Index Investor,4.34,1.08,0.51,"1,720",Large Cap Index Funds
IWY,iShares Russell Top 200 Growth ETF,4.32,1.08,0.2,"12,000",Large Cap Index Funds
URNQX,Victory Nasdaq 100 Index R6,4.29,1.08,0.29,"6,570",Large Cap Index Funds
GARP,iShares MSCI USA Quality GARP ETF,4.13,1.07,0.15,320,Small/Mid Cap Index Funds
IRLNX,Voya Russell Large Cap Growth Idx Port I,3.97,1.08,0.43,"1,290",Large Cap Index Funds
TMFC,Motley Fool 100 ETF,3.94,1.07,0.5,"1,170",Large Cap Index Funds
IRLSX,Voya Russell Large Cap Growth Idx Port S,3.72,1.08,0.68,"1,290",Large Cap Index Funds
SCHG,Schwab US Large-Cap Growth ETF™,3.49,1.1,0.04,"35,370",Large Cap Index Funds
IRLAX,Voya Russell Large Cap Growth Idx Port A,3.45,1.08,0.93,"1,290",Large Cap Index Funds
FHOFX,Fidelity Series Large Cp Grwth Idx,3.28,1.08,0,"1,590",Large Cap Index Funds
FSPGX,Fidelity Large Cap Growth Idx,3.24,1.08,0.04,"32,890",Large Cap Index Funds
VONG,Vanguard Russell 1000 Growth ETF,3.24,1.08,0.07,"33,710",Large Cap Index Funds
SWLGX,Schwab ® US Large-Cap Growth Idx,3.22,1.08,0.04,"3,060",Large Cap Index Funds
TILIX,Nuveen Large Cap Gr Idx R6,3.21,1.08,0.05,"14,630",Large Cap Index Funds
VRGWX,Vanguard Russell 1000 Growth Index I,3.19,1.08,0.06,"33,710",Large Cap Index Funds
TRIHX,Nuveen Large Cap Gr Idx I,3.1,1.08,0.16,"14,630",Large Cap Index Funds
IWF,iShares Russell 1000 Growth ETF,3.09,1.08,0.19,"97,610",Large Cap Index Funds
TRIRX,Nuveen Large Cap Gr Idx Retire,2.95,1.08,0.3,"14,630",Large Cap Index Funds
CGJIX,Calvert US Large Cap Growth Rspnb Idx I,2.36,1.04,0.24,714,Small/Mid Cap Index Funds
CGJAX,Calvert US Large Cap Growth Rspnb Idx A,2.09,1.04,0.49,714,Small/Mid Cap Index Funds
SCHX,Schwab US Large-Cap ETF™,1.59,0.99,0.03,"50,550",Large Cap Index Funds
SCHB,Schwab US Broad Market ETF™,1.49,0.99,0.03,"31,150",Large Cap Index Funds
TCEPX,Nuveen Equity Index Premier,-0.48,1,0.2,"47,640",Large Cap Index Funds
BASMX,iShares Total US Stock Market Idx Inv A,-0.57,1,0.33,"3,700",Large Cap Index Funds
TIQRX,Nuveen Equity Index R,-0.59,1,0.3,"47,640",Large Cap Index Funds
TINRX,Nuveen Equity Index A,-0.61,1,0.37,"47,640",Large Cap Index Funds
POMIX,T. Rowe Price Total Equity Market Idx,-0.64,1,0.18,"2,750",Large Cap Index Funds
WFIVX,FT Wilshire 5000 Index Invmt,-0.66,0.98,0.6,269,Small/Mid Cap Index Funds
NCGFX,New Covenant Growth,-0.83,1,0.72,488,Small/Mid Cap Index Funds
TILT,FlexShares Mstar US Mkt Factors Tilt ETF,-0.93,1.03,0.25,"1,640",Large Cap Index Funds
PSICX,PGIM Quant Solutions Large-Cap Index C,-1.06,0.99,1.26,843,Small/Mid Cap Index Funds
MXCCX,Federated Hermes Max-Cap Index C,-1.09,0.98,1.45,222,Small/Mid Cap Index Funds
SXPCX,DWS S&P 500 Index C,-1.09,0.99,1.26,"1,320",Large Cap Index Funds
WFINX,Allspring Index C,-1.09,0.99,1.19,"1,260",Large Cap Index Funds
SPICX,Invesco S&P 500 Index C,-1.1,0.99,1.29,"3,370",Large Cap Index Funds
RYSPX,Rydex S&P 500 H,-1.51,0.99,1.61,179,Small/Mid Cap Index Funds
RYSOX,Rydex S&P 500 A,-1.52,0.99,1.61,179,Small/Mid Cap Index Funds
KRMA,Global X Conscious Companies ETF,-2.18,1.01,0.43,599,Small/Mid Cap Index Funds
RYSYX,Rydex S&P 500 C,-2.25,0.98,2.37,179,Small/Mid Cap Index Funds
SPXT,ProShares S&P 500® ex-Technology,-2.39,0.92,0.09,194,Small/Mid Cap Index Funds
SPSM,SPDR® Portfolio S&P 600™ Sm Cap ETF,-2.42,0.98,0.03,"11,110",Large Cap Index Funds
VIOO,Vanguard S&P Small-Cap 600 ETF,-2.47,0.98,0.07,"4,550",Large Cap Index Funds
VTSIX,Vanguard Tax-Managed Small Cap I,-2.47,0.97,0.06,"9,160",Large Cap Index Funds
VTMSX,Vanguard Tax-Managed Small Cap Adm,-2.5,0.97,0.09,"9,160",Large Cap Index Funds
VSMSX,Vanguard S&P Small-Cap 600 Index I,-2.52,0.98,0.03,"4,550",Large Cap Index Funds
IJS,iShares S&P Small-Cap 600 Value ETF,-2.52,1,0.18,"6,540",Large Cap Index Funds
IJR,iShares Core S&P Small-Cap ETF,-2.54,0.98,0.06,"79,520",Large Cap Index Funds
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,-2.55,1.02,0.17,"1,780",Large Cap Index Funds
DISIX,BNY Mellon Small Cap Stock Index I,-2.58,0.97,0.25,893,Small/Mid Cap Index Funds
PSPIX,Principal SmallCap S&P 600 Index R6,-2.63,0.98,0.16,"1,300",Large Cap Index Funds
CSPYX,Columbia Small Cap Index Inst3,-2.67,0.98,0.2,"2,600",Large Cap Index Funds
PSSIX,Principal SmallCap S&P 600 Index Inst,-2.68,0.98,0.21,"1,300",Large Cap Index Funds
