ticker,title,sic_code,sic_description
NVDA,NVIDIA CORP,3674,Semiconductors & Related Devices
MSFT,MICROSOFT CORP,7372,Services-Prepackaged Software
AAPL,APPLE INC.,3571,Electronic Computers
GOOGL,ALPHABET INC.,7370,"Services-Computer Programming, Data Processing, Etc."
AMZN,AMAZON COM INC,5961,Retail-Catalog & Mail-Order Houses
META,META PLATFORMS INC.,7370,"Services-Computer Programming, Data Processing, Etc."
AVGO,BROADCOM INC.,3674,Semiconductors & Related Devices
BRK-B,BERKSHIRE HATHAWAY INC,6331,"Fire, Marine & Casualty Insurance"
TSLA,TESLA INC.,3711,Motor Vehicles & Passenger Car Bodies
JPM,JPMORGAN CHASE & CO,6021,National Commercial Banks
ORCL,ORACLE CORP,7372,Services-Prepackaged Software
WMT,WALMART INC.,5331,Retail-Variety Stores
V,VISA INC.,7389,"Services-Business Services, NEC"
LLY,ELI LILLY & CO,2834,Pharmaceutical Preparations
SPY,SPDR S&P 500 ETF TRUST,,
MA,MASTERCARD INC,7389,"Services-Business Services, NEC"
NFLX,NETFLIX INC,7841,Services-Video Tape Rental
XOM,EXXON MOBIL CORP,2911,Petroleum Refining
JNJ,JOHNSON & JOHNSON,2834,Pharmaceutical Preparations
BABA,ALIBABA GROUP HOLDING LTD,7389,"Services-Business Services, NEC"
PLTR,PALANTIR TECHNOLOGIES INC.,7372,Services-Prepackaged Software
COST,COSTCO WHOLESALE CORP /NEW,5331,Retail-Variety Stores
HD,HOME DEPOT INC.,5211,Retail-Lumber & Other Building Materials Dealers
ABBV,ABBVIE INC.,2834,Pharmaceutical Preparations
BAC,BANK OF AMERICA CORP /DE/,6021,National Commercial Banks
ASML,ASML HOLDING NV,3559,"Special Industry Machinery, NEC"
PG,PROCTER & GAMBLE CO,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics"
CVX,CHEVRON CORP,2911,Petroleum Refining
GE,GENERAL ELECTRIC CO,3600,Electronic & Other Electrical Equipment (No Computer Equip)
SAP,SAP SE,7372,Services-Prepackaged Software
TMUS,T-MOBILE US INC.,4812,Radiotelephone Communications
KO,COCA COLA CO,2080,Beverages
UNH,UNITEDHEALTH GROUP INC,6324,Hospital & Medical Service Plans
CSCO,CISCO SYSTEMS INC.,3576,Computer Communications Equipment
AMD,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices
WFC,WELLS FARGO & COMPANY/MN,6021,National Commercial Banks
IBM,INTERNATIONAL BUSINESS MACHINES CORP,3570,Computer & office Equipment
MS,MORGAN STANLEY,6211,"Security Brokers, Dealers & Flotation Companies"
PM,PHILIP MORRIS INTERNATIONAL INC.,2111,Cigarettes
CYATY,CONTEMPORARY AMPEREX TECHNOLOGY CO. LIMITED/ADR,,
TM,TOYOTA MOTOR CORP/,3711,Motor Vehicles & Passenger Car Bodies
GS,GOLDMAN SACHS GROUP INC,6211,"Security Brokers, Dealers & Flotation Companies"
HSBC,HSBC HOLDINGS PLC,6035,"Savings Institution, Federally Chartered"
NVO,NOVO NORDISK A S,2834,Pharmaceutical Preparations
APP,APPLOVIN CORP,7370,"Services-Computer Programming, Data Processing, Etc."
NVS,NOVARTIS AG,2834,Pharmaceutical Preparations
AXP,AMERICAN EXPRESS CO,6199,Finance Services
QQQ,INVESCO QQQ TRUST SERIES 1,,
CRM,SALESFORCE INC.,7372,Services-Prepackaged Software
ABT,ABBOTT LABORATORIES,2834,Pharmaceutical Preparations
AZN,ASTRAZENECA PLC,2834,Pharmaceutical Preparations
LIN,LINDE PLC,2810,Industrial Inorganic Chemicals
CAT,CATERPILLAR INC,3531,Construction Machinery & Equip
RTX,RTX CORP,3724,Aircraft Engines & Engine Parts
BX,BLACKSTONE INC.,6282,Investment Advice
