group_id,industry_code,sic_start,sic_end,sic_description
1,Food,100,199,Food: Agricultural production - crops
1,Food,200,299,Food: Agricultural production - livestock
1,Food,700,799,Food: Agricultural services
1,Food,900,999,"Food: Fishing, hunting & trapping"
1,Food,2000,2009,Food: Food and kindred products
1,Food,2010,2019,Food: Meat products
1,Food,2020,2029,Food: Dairy products
1,Food,2030,2039,Food: Canned & preserved fruits & vegetables
1,Food,2040,2046,Food: Flour and other grain mill products
1,Food,2047,2047,Food: Dog and cat food
1,Food,2048,2048,Food: Prepared feeds for animals
1,Food,2050,2059,Food: Bakery products
1,Food,2060,2063,Food: Sugar and confectionery products
1,Food,2064,2068,Food: Candy and other confectionery
1,Food,2070,2079,Food: Fats and oils
1,Food,2080,2080,Food: Beverages
1,Food,2082,2082,Food: Malt beverages
1,Food,2083,2083,Food: Malt
1,Food,2084,2084,Food: Wine
1,Food,2085,2085,Food: Distilled and blended liquors
1,Food,2086,2086,Food: Bottled-canned soft drinks
1,Food,2087,2087,Food: Flavoring syrup
1,Food,2090,2092,Food: Misc food preparations and kindred products
1,Food,2095,2095,Food: Roasted coffee
1,Food,2096,2096,Food: Potato chips
1,Food,2097,2097,Food: Manufactured ice
1,Food,2098,2099,Food: Misc food preparations
1,Food,5140,5149,Food: Wholesale - groceries & related products
1,Food,5150,5159,Food: Wholesale - farm product raw materials
1,Food,5180,5182,"Food: Wholesale - beer, wine & distilled alcoholic beverages"
1,Food,5191,5191,Food: Wholesale - farm supplies
2,Mines,1000,1009,Mining and Minerals: Metal mining
2,Mines,1010,1019,Mining and Minerals: Iron ores
2,Mines,1020,1029,Mining and Minerals: Copper ores
2,Mines,1030,1039,Mining and Minerals: Lead and zinc ores
2,Mines,1040,1049,Mining and Minerals: Gold & silver ores
2,Mines,1060,1069,Mining and Minerals: Ferroalloy ores
2,Mines,1080,1089,Mining and Minerals: Metal mining services
2,Mines,1090,1099,Mining and Minerals: Misc metal ores
2,Mines,1200,1299,Mining and Minerals: Bituminous coal
2,Mines,1400,1499,Mining and Minerals: Mining and quarrying nonmetallic minerals
2,Mines,5050,5052,"Mining and Minerals: Wholesale - metals and minerals, except petroleum"
3,Oil,1300,1300,Oil and Petroleum Products: Oil and gas extraction
3,Oil,1310,1319,Oil and Petroleum Products: Crude petroleum & natural gas
3,Oil,1320,1329,Oil and Petroleum Products: Natural gas liquids
3,Oil,1380,1380,Oil and Petroleum Products: Oil and gas field services
3,Oil,1381,1381,Oil and Petroleum Products: Drilling oil & gas wells
3,Oil,1382,1382,Oil and Petroleum Products: Oil & gas field exploration services
3,Oil,1389,1389,Oil and Petroleum Products: Misc oil & gas field services
3,Oil,2900,2912,Oil and Petroleum Products: Petroleum refining
3,Oil,5170,5172,Oil and Petroleum Products: Wholesale - petroleum and petroleum products
4,Clths,2200,2269,"Textiles, Apparel & Footwear: Textile mill products"
4,Clths,2270,2279,"Textiles, Apparel & Footwear: Floor covering mills"
4,Clths,2280,2284,"Textiles, Apparel & Footwear: Yarn and thread mills"
4,Clths,2290,2295,"Textiles, Apparel & Footwear: Misc textile goods"
4,Clths,2296,2296,"Textiles, Apparel & Footwear: Tire cord and fabric"
4,Clths,2297,2297,"Textiles, Apparel & Footwear: Non-woven fabrics"
4,Clths,2298,2298,"Textiles, Apparel & Footwear: Cordage and twine"
4,Clths,2299,2299,"Textiles, Apparel & Footwear: Misc textile products"
4,Clths,2300,2390,"Textiles, Apparel & Footwear: Apparel and other finished products"
4,Clths,2391,2392,"Textiles, Apparel & Footwear: Curtains, home furnishings"
4,Clths,2393,2395,"Textiles, Apparel & Footwear: Textile bags, canvas products"
4,Clths,2396,2396,"Textiles, Apparel & Footwear: Automotive trimmings, apparel findings & related products"
4,Clths,2397,2399,"Textiles, Apparel & Footwear: Misc textile products"
4,Clths,3020,3021,"Textiles, Apparel & Footwear: Rubber and plastics footwear"
4,Clths,3100,3111,"Textiles, Apparel & Footwear: Leather tanning and finishing"
4,Clths,3130,3131,"Textiles, Apparel & Footwear: Boot & shoe cut stock & findings"
4,Clths,3140,3149,"Textiles, Apparel & Footwear: Footwear, except rubber"
4,Clths,3150,3151,"Textiles, Apparel & Footwear: Leather gloves and mittens"
4,Clths,3963,3965,"Textiles, Apparel & Footwear: Fasteners, buttons, needles, pins"
4,Clths,5130,5139,"Textiles, Apparel & Footwear: Wholesale - apparel, piece goods & notions"
5,Durbl,2510,2519,Consumer Durables: Household furniture
5,Durbl,2590,2599,Consumer Durables: Misc furniture and fixtures
5,Durbl,3060,3069,Consumer Durables: Fabricated rubber products
5,Durbl,3070,3079,Consumer Durables: Misc rubber products (?)
5,Durbl,3080,3089,Consumer Durables: Misc plastic products
