sic,sic_ff5,sic_ff5_desc,sic_ff10,sic_ff10_desc,sic_ff12,sic_ff12_desc,sic_ff17,sic_ff17_desc,sic_ff30,sic_ff30_desc,sic_ff38,sic_ff38_desc,sic_ff48,sic_ff48_desc,sic_ff49,sic_ff49_desc
100,1,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,Food: Agricultural production - crops,1,Food Products: Agricultural production - crops,1,"Agriculture, forestry, and fishing:",1,Agriculture: Agricultural production - crops,1,Agriculture: Agricultural production - crops
101,1,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,Food: Agricultural production - crops,1,Food Products: Agricultural production - crops,1,"Agriculture, forestry, and fishing:",1,Agriculture: Agricultural production - crops,1,Agriculture: Agricultural production - crops
102,1,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,Food: Agricultural production - crops,1,Food Products: Agricultural production - crops,1,"Agriculture, forestry, and fishing:",1,Agriculture: Agricultural production - crops,1,Agriculture: Agricultural production - crops
103,1,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,Food: Agricultural production - crops,1,Food Products: Agricultural production - crops,1,"Agriculture, forestry, and fishing:",1,Agriculture: Agricultural production - crops,1,Agriculture: Agricultural production - crops
104,1,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,Food: Agricultural production - crops,1,Food Products: Agricultural production - crops,1,"Agriculture, forestry, and fishing:",1,Agriculture: Agricultural production - crops,1,Agriculture: Agricultural production - crops
105,1,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,Food: Agricultural production - crops,1,Food Products: Agricultural production - crops,1,"Agriculture, forestry, and fishing:",1,Agriculture: Agricultural production - crops,1,Agriculture: Agricultural production - crops
106,1,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,Food: Agricultural production - crops,1,Food Products: Agricultural production - crops,1,"Agriculture, forestry, and fishing:",1,Agriculture: Agricultural production - crops,1,Agriculture: Agricultural production - crops
107,1,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,Food: Agricultural production - crops,1,Food Products: Agricultural production - crops,1,"Agriculture, forestry, and fishing:",1,Agriculture: Agricultural production - crops,1,Agriculture: Agricultural production - crops
108,1,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,Food: Agricultural production - crops,1,Food Products: Agricultural production - crops,1,"Agriculture, forestry, and fishing:",1,Agriculture: Agricultural production - crops,1,Agriculture: Agricultural production - crops
109,1,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys:",1,Food: Agricultural production - crops,1,Food Products: Agricultural production - crops,1,"Agriculture, forestry, and fishing:",1,Agriculture: Agricultural production - crops,1,Agriculture: Agricultural production - crops
